@RELATION "Wines dataset"

@ATTRIBUTE name STRING
@ATTRIBUTE price NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE country STRING
@ATTRIBUTE region STRING
@ATTRIBUTE sweetness {dry, semi-dry, semi-sweet, sweet}
@ATTRIBUTE grape STRING
@ATTRIBUTE manufacturer STRING
@ATTRIBUTE strength NUMERIC
@ATTRIBUTE volume NUMERIC

@DATA
'Vino Tracer Riesling, Weinkellerei Hechtsheim, 2022',1312,4.7,Germanija,'Pfal\'ts',semi-dry,'risling 100\%','Weinkellerei Hechtsheim',12.0,0.75
'Vino Lighea, Donnafugata, 2021',4990,4.8,Italija,Sitsilija,dry,'zibibbo 100\%',Donnafugata,12.5,0.75
'Vino Chenin Blanc, David & Nadia, 2022',6790,4.5,'Juzhnaja Afrika',Svortlend,dry,'shenen blan 100\%','David & Nadia',12.5,0.75
'Vino Pinot Noir Alpine Vineyard, Rhys Vineyards, 2017',34990,5.0,'Soedinennye Shtaty Ameriki',Kalifornija,dry,'pino nuar','Rhys Vineyards',12.9,0.75
'Vino Grain de Gris, Listel, 2022',1393,4.6,Frantsija,'Langedok-Russil\'on',dry,sira,Listel,12.0,0.75
'Vino Volnay Premier Cru Clos des Chenes, Domaine Antonin Guyon, 2020',23490,5.0,Frantsija,Burgundija,dry,'pino nuar 100\%','Domaine Antonin Guyon',14.0,0.75
'Vino Tenuta Regaleali Cygnus, Tasca d\'Almerita, 2019',4490,4.5,Italija,Sitsilija,dry,'kaberne sovin\'on 40\%','Tasca d\'Almerita',14.0,0.75
'Vino Bordeaux des Iles, Domaine de l\'Ile Margaux, 2019',5490,5.0,Frantsija,Bordo,dry,'pti verdo','Domaine de l\'Ile Margaux',13.5,0.75
'Vino Riesling Kastelberg Grand Cru Le Chateau, Domaine Marc Kreydenweiss, 2017',17990,5.0,Frantsija,'El\'zas',semi-dry,'risling 100\%','Domaine Marc Kreydenweiss',13.0,0.75
'Vino Primofiore, Giuseppe Quintarelli, 2021, 1.5 l',39990,5.0,Italija,Veneto,dry,'kaberne fran','Giuseppe Quintarelli',14.0,1.5
'Vino Collio Sauvignon Blanc, Marco Felluga, 2021',4790,3.6,Italija,Friuli-Venetsija-Dzhulija,dry,'sovin\'on blan 100\%','Marco Felluga',13.5,0.75
'Vino Kisi Qvevri, Giuaani, 2019',3390,4.3,Gruzija,Kahetija,dry,'kisi 100\%',Giuaani,13.0,0.75
'Vino 9 Lives Apasionado Red Blend Reserve, Vina San Pedro, 2021',1490,4.1,Chili,'Tsentral\'naja Dolina',semi-dry,'sira 13\%','Vina San Pedro',14.0,0.75
'Vino Vosne-Romanee, Domaine Michel Noellat, 2021',22490,0.0,Frantsija,Burgundija,dry,'pino nuar 100\%','Domaine Michel Noellat',13.5,0.75
'Vino Recioto della Valpolicella Classico, Giuseppe Quintarelli, 2007, 0.375 l',37490,5.0,Italija,Veneto,sweet,sandzhoveze,'Giuseppe Quintarelli',15.5,0.375
'Vino Zweigelt Rose, Nastl, 2021',2490,4.6,Avstrija,'Nizhnjaja Avstrija',dry,'tsvajgel\'t 100\%',Nastl,12.0,0.75
'Vino L`Apparita v podarochnoj upakovke, Castello di Ama, 2020, 1.5 l',174990,0.0,Italija,Toskana,dry,'merlo 100\%','Castello di Ama',14.5,1.5
'Vino Pouilly-Fuisse, Joseph Drouhin, 2020',8743,4.9,Frantsija,Burgundija,dry,'shardone 100\%','Joseph Drouhin',13.0,0.75
'Vino Risling Krasnaja Gorka, Galitskij i Galitskij, 2022, 1.5 l',8490,0.0,Rossija,'Kuban\'',dry,'risling 100\%','Galitskij i Galitskij',12.0,1.5
'Vino Gavi Il Valentino, La Scolca, 2023',2290,4.5,Italija,'P\'emont',dry,'korteze 100\%','La Scolca',12.0,0.75
'Vino Morgon P\'tit Max, Domaine Guy Breton, 2021',9490,5.0,Frantsija,Burgundija,dry,'game 100\%','Domaine Guy Breton',12.0,0.75
'Vino Savigny-les-Beaune 1er Cru aux Vergelesses, Simon Bize & Fils, 2014',18490,0.0,Frantsija,Burgundija,dry,'shardone 100\%','Simon Bize & Fils',13.5,0.75
'Vino Sauvignon Volpe Pasini, 2019',4790,4.3,Italija,Friuli-Venetsija-Dzhulija,dry,'sovin\'on blan 100\%','Volpe Pasini',12.5,0.75
'Vino Tenuta Regaleali Nozze d\'Oro, Tasca d\'Almerita, 2020',5290,4.0,Italija,Sitsilija,dry,'sovin\'on blan 33\%','Tasca d\'Almerita',13.5,0.75
'Vino Blaufrankisch Ried Hochberg, Hans Igler, 2020',4490,4.6,Avstrija,Burgenland,dry,'blaufrankish 100\%','Hans Igler',14.0,0.75
'Vino Terre Brune, Santadi, 2016',12490,0.0,Italija,Sardinija,dry,'bovaleddu 5\%',Santadi,15.0,0.75
'Vino Soave Classico, Domini Veneti, 2023',2490,4.4,Italija,Veneto,semi-dry,'shardone 5\%','Domini Veneti',12.5,0.75
'Vino Barolo Castiglione, Vietti, 2013',19990,0.0,Italija,'P\'emont',dry,'nebbiolo 100\%',Vietti,14.0,0.75
'Vino Chateau Siaurac, Chateau Siaurac, 2016',6990,4.8,Frantsija,Bordo,dry,'mal\'bek 5\%','Chateau Siaurac',14.0,0.75
'Vino Camden Park Cabernet Sauvignon, Byrne Vineyards, 2020',1390,4.5,Avstralija,'Juzhnaja Avstralija',semi-dry,'kaberne sovin\'on','Byrne Vineyards',13.5,0.75
'Vino Mezyb\' Kaberne Sovin\'on, 2019',1290,4.3,Rossija,'Kuban\'',semi-dry,'kaberne sovin\'on','Mezyb\'',14.8,0.75
'Vino Barolo, Giacomo Fenocchio, 2020',10990,5.0,Italija,'P\'emont',dry,'nebbiolo 100\%','Giacomo Fenocchio',14.5,0.75
'Vino Chablis, Joseph Drouhin, 2021',5243,4.8,Frantsija,Burgundija,dry,'shardone 100\%','Joseph Drouhin',12.5,0.75
'Vino Valpolicella Classico Superiore Ripasso La Casetta, Domini Veneti, 2019',3420,4.7,Italija,Veneto,semi-dry,rondinella,'Domini Veneti',14.0,0.75
'Vino Clos des Cessieux, Herve Souhaut, 2019',11990,4.5,Frantsija,'Dolina Rony',dry,'sira 100\%','Herve Souhaut',12.5,0.75
